model,term,coef,std_error,odds_ratio,ci_low,ci_high,z,p_value,n,log_likelihood,aic,note
post_treatment_adjusted_sensitivity,strategy:highest_p_wolf,-0.24291405262827392,0.06428570485182164,0.7843389227436552,0.6914864529691368,0.8896595776954943,-3.778663595401032,0.00015767225424712095,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,strategy:highest_suspicion,-0.19384845567485584,0.06427147123498972,0.8237827344082396,0.726281045154591,0.9343738185603762,-3.016088661890219,0.002560583754138257,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,strategy:opposite_side,-0.030276539921175554,0.06364986397816082,0.9701772037208203,0.8563912145178194,1.0990815770447924,-0.475673285516586,0.6343071558632603,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,first_check_target_is_wolf,0.5446840113390485,0.035961947446191286,1.7240635117740224,1.6067281230608323,1.8499676142894255,15.146121109098495,0.0,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,wolves_on_edge,-0.0003558154190845164,0.02300930602199733,0.9996442478757144,0.9555642965832637,1.045757596724868,-0.015463978737313942,0.9876620218585301,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seer_seat_centered,0.010908563517167664,0.012112532831508248,1.010968278834753,0.9872504089399948,1.0352559508255657,0.9006013580240867,0.36780031229926347,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seer_side:right,0.017561209175688337,0.06930791677310666,1.017716313820985,0.88844741998755,1.165793801767006,0.25337955594854294,0.7999749242993,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seed:43,0.030513401989883858,0.05396215862991902,1.0309837071894061,0.9275111291835598,1.1459996231265186,0.5654592544962771,0.5717614308789285,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seed:44,-0.022096965061804745,0.054177672708892705,0.9781453845250263,0.8796041939112187,1.0877260475683694,-0.40786109769860523,0.6833756548085752,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seed:45,-0.0710255276470062,0.05426564409906691,0.9314381144007061,0.8374579414743476,1.0359648144609754,-1.3088488826805886,0.19058554479625478,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seed:46,-0.006031818239031682,0.054072465217629595,0.99398633665592,0.8940336160938404,1.105113744800119,-0.11155064254523926,0.9111797092042782,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,total_seer_checks,0.3655454254242676,0.02016194430350874,1.4412999154206956,1.385455187295549,1.4993956248030988,18.130464994918793,0.0,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,seer_survived_to_game_end,1.4999882386223673,0.03855391801996663,4.481636359810451,4.155463389497257,4.833411482420745,38.906246515478415,0.0,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
raw_first_check_success,first_check_target_is_wolf,0.5589427469246843,,1.7488225745034771,1.640185908919108,1.8646547202130643,17.081768354104042,0.0,17500,,,Raw 2x2 comparison; village win rate when first check found wolf 0.4759 vs 0.3417 when it did not.
