matched_set_id,seed,base_game_index,strategy,reference_label_condition,comparison_label_condition,reference_game_id,comparison_game_id,reference_winner,comparison_winner,outcome_agreement,physical_first_target_matches_reference,physical_check_sequence_matches_reference_until_divergence,physical_final_alive_set_matches,first_divergence_round,first_divergence_phase,first_divergence_event_type
alternate_physical_sides_seed_42_base_134,42,134,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_134_normal,alternate_physical_sides_seed_42_base_134_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_134,42,134,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_134_normal,alternate_physical_sides_seed_42_base_134_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_135,42,135,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_135_normal,alternate_physical_sides_seed_42_base_135_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_135,42,135,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_135_normal,alternate_physical_sides_seed_42_base_135_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_136,42,136,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_136_normal,alternate_physical_sides_seed_42_base_136_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_136,42,136,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_136_normal,alternate_physical_sides_seed_42_base_136_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_137,42,137,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_137_normal,alternate_physical_sides_seed_42_base_137_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_137,42,137,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_137_normal,alternate_physical_sides_seed_42_base_137_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_138,42,138,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_138_normal,alternate_physical_sides_seed_42_base_138_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_138,42,138,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_138_normal,alternate_physical_sides_seed_42_base_138_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_139,42,139,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_139_normal,alternate_physical_sides_seed_42_base_139_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_139,42,139,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_139_normal,alternate_physical_sides_seed_42_base_139_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_14,42,14,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_14_normal,alternate_physical_sides_seed_42_base_14_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_14,42,14,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_14_normal,alternate_physical_sides_seed_42_base_14_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_140,42,140,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_140_normal,alternate_physical_sides_seed_42_base_140_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_140,42,140,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_140_normal,alternate_physical_sides_seed_42_base_140_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_141,42,141,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_141_normal,alternate_physical_sides_seed_42_base_141_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_141,42,141,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_141_normal,alternate_physical_sides_seed_42_base_141_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_142,42,142,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_142_normal,alternate_physical_sides_seed_42_base_142_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_142,42,142,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_142_normal,alternate_physical_sides_seed_42_base_142_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_143,42,143,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_143_normal,alternate_physical_sides_seed_42_base_143_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_143,42,143,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_143_normal,alternate_physical_sides_seed_42_base_143_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_144,42,144,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_144_normal,alternate_physical_sides_seed_42_base_144_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_144,42,144,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_144_normal,alternate_physical_sides_seed_42_base_144_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_145,42,145,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_145_normal,alternate_physical_sides_seed_42_base_145_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_145,42,145,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_145_normal,alternate_physical_sides_seed_42_base_145_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_146,42,146,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_146_normal,alternate_physical_sides_seed_42_base_146_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_146,42,146,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_146_normal,alternate_physical_sides_seed_42_base_146_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_147,42,147,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_147_normal,alternate_physical_sides_seed_42_base_147_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_147,42,147,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_147_normal,alternate_physical_sides_seed_42_base_147_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_148,42,148,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_148_normal,alternate_physical_sides_seed_42_base_148_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_148,42,148,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_148_normal,alternate_physical_sides_seed_42_base_148_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_149,42,149,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_149_normal,alternate_physical_sides_seed_42_base_149_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_149,42,149,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_149_normal,alternate_physical_sides_seed_42_base_149_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_15,42,15,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_15_normal,alternate_physical_sides_seed_42_base_15_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_15,42,15,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_15_normal,alternate_physical_sides_seed_42_base_15_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_150,42,150,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_150_normal,alternate_physical_sides_seed_42_base_150_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_150,42,150,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_150_normal,alternate_physical_sides_seed_42_base_150_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_151,42,151,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_151_normal,alternate_physical_sides_seed_42_base_151_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_151,42,151,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_151_normal,alternate_physical_sides_seed_42_base_151_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_152,42,152,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_152_normal,alternate_physical_sides_seed_42_base_152_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_152,42,152,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_152_normal,alternate_physical_sides_seed_42_base_152_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_153,42,153,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_153_normal,alternate_physical_sides_seed_42_base_153_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_153,42,153,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_153_normal,alternate_physical_sides_seed_42_base_153_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_154,42,154,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_154_normal,alternate_physical_sides_seed_42_base_154_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_154,42,154,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_154_normal,alternate_physical_sides_seed_42_base_154_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_155,42,155,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_155_normal,alternate_physical_sides_seed_42_base_155_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_155,42,155,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_155_normal,alternate_physical_sides_seed_42_base_155_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_156,42,156,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_156_normal,alternate_physical_sides_seed_42_base_156_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_156,42,156,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_156_normal,alternate_physical_sides_seed_42_base_156_rotated,village,village,1,1,1,1,,none,none
