analysis_type,held_out_seed,seed,strategy,num_games,village_win_rate,wolf_win_rate,first_check_wolf_rate,seed_diff_min_pp,seed_diff_max_pp,seed_diff_stdev_pp,seed_diff_positive_count
leave_one_seed_out,43,,farthest_first,2000,0.427,0.573,0.3275,,,,
leave_one_seed_out,43,,coverage_balanced,2000,0.4145,0.5855,0.3355,,,,
leave_one_seed_out,43,,hybrid_suspicion_position,2000,0.375,0.625,0.329,,,,
leave_one_seed_out,43,,information_gain_proxy,2000,0.409,0.591,0.328,,,,
leave_one_seed_out,44,,random,2000,0.4105,0.5895,0.337,,,,
leave_one_seed_out,44,,default,2000,0.4105,0.5895,0.337,,,,
leave_one_seed_out,44,,edge_first,2000,0.418,0.582,0.338,,,,
leave_one_seed_out,44,,inner_first,2000,0.4155,0.5845,0.3105,,,,
leave_one_seed_out,44,,highest_p_wolf,2000,0.3535,0.6465,0.321,,,,
leave_one_seed_out,44,,highest_suspicion,2000,0.3505,0.6495,0.3265,,,,
leave_one_seed_out,44,,left_to_right,2000,0.4225,0.5775,0.3365,,,,
leave_one_seed_out,44,,right_to_left,2000,0.442,0.558,0.3275,,,,
leave_one_seed_out,44,,alternate_sides,2000,0.4355,0.5645,0.3265,,,,
leave_one_seed_out,44,,nearest_first,2000,0.4235,0.5765,0.3305,,,,
leave_one_seed_out,44,,farthest_first,2000,0.4315,0.5685,0.3205,,,,
leave_one_seed_out,44,,coverage_balanced,2000,0.4165,0.5835,0.34,,,,
leave_one_seed_out,44,,hybrid_suspicion_position,2000,0.3695,0.6305,0.3305,,,,
leave_one_seed_out,44,,information_gain_proxy,2000,0.4125,0.5875,0.3415,,,,
leave_one_seed_out,45,,random,2000,0.403,0.597,0.35,,,,
leave_one_seed_out,45,,default,2000,0.403,0.597,0.35,,,,
leave_one_seed_out,45,,edge_first,2000,0.412,0.588,0.34,,,,
leave_one_seed_out,45,,inner_first,2000,0.4325,0.5675,0.322,,,,
leave_one_seed_out,45,,highest_p_wolf,2000,0.3545,0.6455,0.3235,,,,
leave_one_seed_out,45,,highest_suspicion,2000,0.3485,0.6515,0.341,,,,
leave_one_seed_out,45,,left_to_right,2000,0.4005,0.5995,0.344,,,,
leave_one_seed_out,45,,right_to_left,2000,0.439,0.561,0.328,,,,
leave_one_seed_out,45,,alternate_sides,2000,0.4425,0.5575,0.344,,,,
leave_one_seed_out,45,,nearest_first,2000,0.421,0.579,0.3385,,,,
leave_one_seed_out,45,,farthest_first,2000,0.435,0.565,0.3305,,,,
leave_one_seed_out,45,,coverage_balanced,2000,0.41,0.59,0.3365,,,,
leave_one_seed_out,45,,hybrid_suspicion_position,2000,0.3745,0.6255,0.3305,,,,
leave_one_seed_out,45,,information_gain_proxy,2000,0.408,0.592,0.3385,,,,
leave_one_seed_out,46,,random,2000,0.399,0.601,0.3435,,,,
leave_one_seed_out,46,,default,2000,0.399,0.601,0.3435,,,,
leave_one_seed_out,46,,edge_first,2000,0.4175,0.5825,0.338,,,,
leave_one_seed_out,46,,inner_first,2000,0.4215,0.5785,0.3155,,,,
leave_one_seed_out,46,,highest_p_wolf,2000,0.3475,0.6525,0.329,,,,
leave_one_seed_out,46,,highest_suspicion,2000,0.349,0.651,0.3365,,,,
leave_one_seed_out,46,,left_to_right,2000,0.4025,0.5975,0.344,,,,
leave_one_seed_out,46,,right_to_left,2000,0.4455,0.5545,0.344,,,,
leave_one_seed_out,46,,alternate_sides,2000,0.4425,0.5575,0.326,,,,
leave_one_seed_out,46,,nearest_first,2000,0.4145,0.5855,0.33,,,,
leave_one_seed_out,46,,farthest_first,2000,0.421,0.579,0.3145,,,,
leave_one_seed_out,46,,coverage_balanced,2000,0.4115,0.5885,0.3375,,,,
leave_one_seed_out,46,,hybrid_suspicion_position,2000,0.3605,0.6395,0.3265,,,,
leave_one_seed_out,46,,information_gain_proxy,2000,0.419,0.581,0.339,,,,
seed_diff_summary,,all,alternate_sides vs random,,3.6400000000000015,,,0.8000000000000007,8.200000000000001,2.7942798714516766,5.0
seed_diff_summary,,all,alternate_sides vs right_to_left,,0.2800000000000013,,,-4.599999999999999,4.0000000000000036,3.3124009419150946,2.0
seed_diff_summary,,all,alternate_sides vs inner_first,,2.080000000000001,,,-2.400000000000002,6.4,3.1164081889251936,4.0
seed_diff_summary,,all,alternate_sides vs edge_first,,2.7199999999999998,,,-1.200000000000001,6.6000000000000005,2.8795833031881544,4.0
seed_diff_summary,,all,right_to_left vs random,,3.3600000000000003,,,-1.8000000000000016,8.599999999999996,3.7320235797754537,4.0
seed_diff_summary,,all,information_gain_proxy vs random,,0.6000000000000005,,,-4.999999999999999,4.199999999999998,3.429285639896449,4.0
seed_diff_summary,,all,highest_p_wolf vs random,,-5.64,,,-8.799999999999997,-1.4000000000000012,2.840422503783547,0.0
seed_diff_summary,,all,highest_suspicion vs random,,-5.6800000000000015,,,-8.400000000000002,-4.0000000000000036,1.8143869488066764,0.0
