scenario_id,scenario_name,module,role,policy,original_mean_actor_payoff,adjusted_mean_actor_payoff,adjustment,basis
PS_03,core_like_terminal_125,villager,Villager,trust_weighted,-0.09395000000000003,-0.08455500,0.00939500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,villager,Villager,guarded_herding,-0.24430000000000004,-0.21987000,0.02443000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,reference,-0.4138,-0.41380000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,random_shot,-0.5746,-0.60460000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,no_shot,-0.5586,-0.58860000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,highest_suspicion,-0.4138,-0.44380000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,highest_p_wolf,-0.4388,-0.46880000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,hunter,Hunter,conservative_threshold,-0.5513000000000001,-0.58130000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,private_only,-0.2353,-0.26530000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,immediate_reveal,-0.15905000000000002,-0.18905000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,reveal_first_wolf,-0.2155,-0.24550000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,delayed_round_2,-0.21055000000000001,-0.24055000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,under_threat,-0.23095000000000002,-0.26095000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,seer,Seer,selective_useful_info,-0.21755000000000002,-0.24755000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,reference,-0.16845000000000002,-0.16845000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,aggressive_full,-0.03725000000000001,-0.06725000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,-0.19180000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,save_conservative_poison_aggressive,-0.31185,-0.34185000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,conservative_full,-0.49405,-0.52405000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,witch,Witch,risk_balanced,-0.17890000000000003,-0.20890000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,reference,0.6969166666666666,0.69691667,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,aggressive_false_accuse,0.5939,0.56390000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.57625000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,threat_adaptive,0.6969166666666666,0.66691667,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,deep_cover,0.08306666666666662,0.05306667,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,wolf,Werewolf,minimal_deception,0.5951,0.56510000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,reference,-0.3384875,-0.33848750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,random_vote,-0.47273750000000003,-0.50273750,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,suspicion_only,-0.3308375,-0.36083750,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,p_wolf_only,-0.446325,-0.47632500,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,trust_weighted,-0.09395000000000003,-0.12395000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_04,action_bonus_075,villager,Villager,guarded_herding,-0.24430000000000004,-0.27430000,-0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,reference,-0.4138,-0.41380000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,random_shot,-0.5746,-0.57460000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,no_shot,-0.5586,-0.57860000,-0.02000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,highest_suspicion,-0.4138,-0.41380000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,highest_p_wolf,-0.4388,-0.43880000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,hunter,Hunter,conservative_threshold,-0.5513000000000001,-0.55130000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,private_only,-0.2353,-0.23530000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,immediate_reveal,-0.15905000000000002,-0.12905000,0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,reveal_first_wolf,-0.2155,-0.21550000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,delayed_round_2,-0.21055000000000001,-0.21055000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,under_threat,-0.23095000000000002,-0.23095000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,seer,Seer,selective_useful_info,-0.21755000000000002,-0.21755000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,reference,-0.16845000000000002,-0.16845000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,aggressive_full,-0.03725000000000001,-0.00725000,0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,-0.16180000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,save_conservative_poison_aggressive,-0.31185,-0.31185000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,conservative_full,-0.49405,-0.51405000,-0.02000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,witch,Witch,risk_balanced,-0.17890000000000003,-0.17890000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,reference,0.6969166666666666,0.69691667,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,aggressive_false_accuse,0.5939,0.59390000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.60625000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,threat_adaptive,0.6969166666666666,0.69691667,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,deep_cover,0.08306666666666662,0.06306667,-0.02000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,wolf,Werewolf,minimal_deception,0.5951,0.59510000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,reference,-0.3384875,-0.33848750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,random_vote,-0.47273750000000003,-0.47273750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,suspicion_only,-0.3308375,-0.33083750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,p_wolf_only,-0.446325,-0.44632500,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,trust_weighted,-0.09395000000000003,-0.06395000,0.03000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_05,action_bonus_125,villager,Villager,guarded_herding,-0.24430000000000004,-0.24430000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,reference,-0.4138,-0.41380000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,random_shot,-0.5746,-0.57460000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,no_shot,-0.5586,-0.55860000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,highest_suspicion,-0.4138,-0.41380000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,highest_p_wolf,-0.4388,-0.43880000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,hunter,Hunter,conservative_threshold,-0.5513000000000001,-0.55130000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,private_only,-0.2353,-0.23530000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,immediate_reveal,-0.15905000000000002,-0.15905000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,reveal_first_wolf,-0.2155,-0.21550000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,delayed_round_2,-0.21055000000000001,-0.21055000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,under_threat,-0.23095000000000002,-0.23095000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,seer,Seer,selective_useful_info,-0.21755000000000002,-0.21755000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,reference,-0.16845000000000002,-0.16845000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,aggressive_full,-0.03725000000000001,-0.03725000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,-0.16180000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,save_conservative_poison_aggressive,-0.31185,-0.31185000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,conservative_full,-0.49405,-0.49405000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,witch,Witch,risk_balanced,-0.17890000000000003,-0.17890000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,reference,0.6969166666666666,0.69691667,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,aggressive_false_accuse,0.5939,0.63390000,0.04000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.64625000,0.04000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,threat_adaptive,0.6969166666666666,0.73691667,0.04000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,deep_cover,0.08306666666666662,0.12306667,0.04000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,wolf,Werewolf,minimal_deception,0.5951,0.63510000,0.04000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,reference,-0.3384875,-0.33848750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,random_vote,-0.47273750000000003,-0.47273750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,suspicion_only,-0.3308375,-0.33083750,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,p_wolf_only,-0.446325,-0.44632500,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,trust_weighted,-0.09395000000000003,-0.09395000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_06,credibility_cost_075,villager,Villager,guarded_herding,-0.24430000000000004,-0.24430000,0.00000000,summary-level sensitivity audit; R4/R5 manifests unchanged
