scenario_id,scenario_name,role,policy,adjusted_mean_actor_payoff,rank,scenario_winner
PS_12,villager_false_positive_penalty,Seer,immediate_reveal,-0.15905000,1,True
PS_12,villager_false_positive_penalty,Seer,delayed_round_2,-0.21055000,2,False
PS_12,villager_false_positive_penalty,Seer,reveal_first_wolf,-0.21550000,3,False
PS_12,villager_false_positive_penalty,Seer,selective_useful_info,-0.21755000,4,False
PS_12,villager_false_positive_penalty,Seer,under_threat,-0.23095000,5,False
PS_12,villager_false_positive_penalty,Seer,private_only,-0.23530000,6,False
PS_12,villager_false_positive_penalty,Witch,aggressive_full,-0.03725000,1,True
PS_12,villager_false_positive_penalty,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_12,villager_false_positive_penalty,Witch,reference,-0.16845000,3,False
PS_12,villager_false_positive_penalty,Witch,risk_balanced,-0.17890000,4,False
PS_12,villager_false_positive_penalty,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_12,villager_false_positive_penalty,Witch,conservative_full,-0.49405000,6,False
PS_12,villager_false_positive_penalty,Werewolf,reference,0.69691667,1,True
PS_12,villager_false_positive_penalty,Werewolf,threat_adaptive,0.69691667,2,False
PS_12,villager_false_positive_penalty,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_12,villager_false_positive_penalty,Werewolf,minimal_deception,0.59510000,4,False
PS_12,villager_false_positive_penalty,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_12,villager_false_positive_penalty,Werewolf,deep_cover,0.08306667,6,False
PS_12,villager_false_positive_penalty,Villager,trust_weighted,-0.09395000,1,True
PS_12,villager_false_positive_penalty,Villager,guarded_herding,-0.24430000,2,False
PS_12,villager_false_positive_penalty,Villager,suspicion_only,-0.33083750,3,False
PS_12,villager_false_positive_penalty,Villager,reference,-0.33848750,4,False
PS_12,villager_false_positive_penalty,Villager,p_wolf_only,-0.48632500,5,False
PS_12,villager_false_positive_penalty,Villager,random_vote,-0.51273750,6,False
PS_13,downside_risk_averse,Hunter,highest_suspicion,-0.50790592,1,True
PS_13,downside_risk_averse,Hunter,reference,-0.50790592,2,False
