module,policy,group_key,group_value,game_count,village_win_rate,wolf_win_rate,mean_actor_payoff
seer,private_only,leave_one_behavioral_regime,heterogeneous_risk,900,0.2833333333333333,0.7166666666666667,-0.27044444444444443
seer,immediate_reveal,leave_one_behavioral_regime,heterogeneous_risk,900,0.31555555555555553,0.6844444444444444,-0.20255555555555557
seer,private_only,leave_one_behavioral_regime,high_emotional_speech,900,0.28444444444444444,0.7155555555555555,-0.2685
seer,immediate_reveal,leave_one_behavioral_regime,high_emotional_speech,900,0.31333333333333335,0.6866666666666666,-0.20816666666666667
seer,private_only,leave_one_behavioral_regime,low_information_speech,900,0.2733333333333333,0.7266666666666667,-0.29194444444444445
seer,immediate_reveal,leave_one_behavioral_regime,low_information_speech,900,0.30333333333333334,0.6966666666666667,-0.22833333333333333
seer,private_only,leave_one_behavioral_regime,mixed_strategies,900,0.28,0.72,-0.2778888888888889
seer,immediate_reveal,leave_one_behavioral_regime,mixed_strategies,900,0.30444444444444446,0.6955555555555556,-0.22544444444444445
seer,private_only,leave_one_behavioral_regime,speech_enabled,900,0.28888888888888886,0.7111111111111111,-0.2611111111111111
seer,immediate_reveal,leave_one_behavioral_regime,speech_enabled,900,0.32555555555555554,0.6744444444444444,-0.18416666666666667
seer,private_only,leave_one_behavioral_regime,strong_village_information,900,0.2722222222222222,0.7277777777777777,-0.2917777777777778
seer,immediate_reveal,leave_one_behavioral_regime,strong_village_information,900,0.29555555555555557,0.7044444444444444,-0.24177777777777776
seer,private_only,leave_one_behavioral_regime,weak_village_information,900,0.2966666666666667,0.7033333333333334,-0.24
seer,immediate_reveal,leave_one_behavioral_regime,weak_village_information,900,0.3333333333333333,0.6666666666666666,-0.1638888888888889
witch,reference,leave_one_behavioral_regime,baseline,900,0.2866666666666667,0.7133333333333334,-0.21205555555555558
witch,aggressive_full,leave_one_behavioral_regime,baseline,900,0.35777777777777775,0.6422222222222222,-0.044722222222222247
witch,reference,leave_one_behavioral_regime,deception_enabled,900,0.3022222222222222,0.6977777777777778,-0.17983333333333335
witch,aggressive_full,leave_one_behavioral_regime,deception_enabled,900,0.36333333333333334,0.6366666666666667,-0.03661111111111113
witch,reference,leave_one_behavioral_regime,herding_enabled,900,0.2922222222222222,0.7077777777777777,-0.2005
witch,aggressive_full,leave_one_behavioral_regime,herding_enabled,900,0.3711111111111111,0.6288888888888889,-0.01072222222222224
witch,reference,leave_one_behavioral_regime,heterogeneous_risk,900,0.2833333333333333,0.7166666666666667,-0.21433333333333335
witch,aggressive_full,leave_one_behavioral_regime,heterogeneous_risk,900,0.3611111111111111,0.6388888888888888,-0.03616666666666669
witch,reference,leave_one_behavioral_regime,high_emotional_speech,900,0.28444444444444444,0.7155555555555555,-0.2132777777777778
witch,aggressive_full,leave_one_behavioral_regime,high_emotional_speech,900,0.35444444444444445,0.6455555555555555,-0.049222222222222244
witch,reference,leave_one_behavioral_regime,low_information_speech,900,0.2733333333333333,0.7266666666666667,-0.23583333333333337
witch,aggressive_full,leave_one_behavioral_regime,low_information_speech,900,0.3333333333333333,0.6666666666666666,-0.09483333333333335
witch,reference,leave_one_behavioral_regime,mixed_strategies,900,0.28,0.72,-0.21961111111111112
witch,aggressive_full,leave_one_behavioral_regime,mixed_strategies,900,0.3522222222222222,0.6477777777777778,-0.05038888888888891
witch,reference,leave_one_behavioral_regime,speech_enabled,900,0.28888888888888886,0.7111111111111111,-0.20727777777777778
witch,aggressive_full,leave_one_behavioral_regime,speech_enabled,900,0.36777777777777776,0.6322222222222222,-0.02638888888888891
