strategy,seed,num_games,wolf_win_rate,village_win_rate,draw_rate,first_check_wolf_rate,found_wolf_by_check_1_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,mean_checks_until_first_wolf,no_wolf_found_rate,mean_wolves_found_per_game,seer_survival_rate,mean_total_seer_checks,mean_search_path_coverage_score,mean_unique_seat_types_checked,mean_unique_sides_checked,mean_pairwise_distance_between_checked_targets
nearest_first,42,500,0.574,0.426,0.0,0.354,0.354,0.594,0.682,1.6780626780626782,0.298,1.03,0.306,2.65,0.2944444444444444,1.812,1.516,1.9338666666666666
nearest_first,43,500,0.558,0.442,0.0,0.326,0.326,0.558,0.64,1.6978851963746224,0.338,0.932,0.318,2.662,0.29577777777777775,1.808,1.566,1.9646666666666668
nearest_first,44,500,0.61,0.39,0.0,0.336,0.336,0.552,0.664,1.7636887608069165,0.306,0.96,0.298,2.654,0.29488888888888887,1.822,1.574,1.9469333333333334
nearest_first,45,500,0.6,0.4,0.0,0.304,0.304,0.506,0.59,1.719869706840391,0.386,0.884,0.304,2.628,0.292,1.788,1.55,1.9053333333333333
nearest_first,46,500,0.574,0.426,0.0,0.338,0.338,0.568,0.654,1.7325581395348837,0.312,1.004,0.348,2.692,0.2991111111111111,1.816,1.564,1.9407333333333334
farthest_first,42,500,0.574,0.426,0.0,0.342,0.342,0.57,0.656,1.6735905044510386,0.326,0.954,0.288,2.554,0.2837777777777778,1.622,1.398,1.2283333333333333
farthest_first,43,500,0.564,0.436,0.0,0.3,0.3,0.49,0.588,1.7702265372168284,0.382,0.872,0.308,2.576,0.2862222222222222,1.624,1.386,1.2429333333333334
farthest_first,44,500,0.582,0.418,0.0,0.328,0.328,0.56,0.644,1.7065868263473054,0.332,0.952,0.308,2.586,0.28733333333333333,1.618,1.432,1.260133333333333
farthest_first,45,500,0.596,0.404,0.0,0.288,0.288,0.494,0.576,1.788273615635179,0.386,0.838,0.336,2.61,0.29,1.644,1.392,1.2836666666666667
farthest_first,46,500,0.54,0.46,0.0,0.352,0.352,0.588,0.676,1.7303370786516854,0.288,1.024,0.326,2.726,0.3028888888888889,1.696,1.436,1.3732
coverage_balanced,42,500,0.582,0.418,0.0,0.31,0.31,0.534,0.62,1.7407407407407407,0.352,0.916,0.294,2.624,0.29155555555555557,1.68,1.794,2.959
coverage_balanced,43,500,0.594,0.406,0.0,0.354,0.354,0.566,0.648,1.6666666666666667,0.328,0.952,0.304,2.572,0.2857777777777778,1.654,1.766,2.9579333333333335
coverage_balanced,44,500,0.602,0.398,0.0,0.336,0.336,0.55,0.642,1.7057057057057057,0.334,0.944,0.288,2.632,0.2924444444444444,1.718,1.818,3.0309333333333335
coverage_balanced,45,500,0.576,0.424,0.0,0.35,0.35,0.568,0.664,1.673529411764706,0.32,0.972,0.314,2.696,0.2995555555555555,1.726,1.838,3.058
coverage_balanced,46,500,0.582,0.418,0.0,0.346,0.346,0.562,0.66,1.6873156342182891,0.322,0.978,0.33,2.606,0.28955555555555557,1.672,1.808,2.9613333333333336
hybrid_suspicion_position,42,500,0.608,0.392,0.0,0.334,0.334,0.524,0.628,1.7208588957055215,0.348,0.942,0.3,2.572,0.2857777777777778,1.648,1.72,2.8062
hybrid_suspicion_position,43,500,0.658,0.342,0.0,0.328,0.328,0.554,0.646,1.7396449704142012,0.324,0.972,0.312,2.622,0.29133333333333333,1.692,1.766,2.9226666666666663
hybrid_suspicion_position,44,500,0.636,0.364,0.0,0.322,0.322,0.522,0.614,1.670926517571885,0.374,0.872,0.268,2.57,0.28555555555555556,1.65,1.748,2.816
hybrid_suspicion_position,45,500,0.656,0.344,0.0,0.322,0.322,0.562,0.626,1.691131498470948,0.346,0.946,0.306,2.628,0.292,1.694,1.762,2.8672
hybrid_suspicion_position,46,500,0.6,0.4,0.0,0.338,0.338,0.594,0.672,1.6982758620689655,0.304,0.978,0.308,2.632,0.2924444444444444,1.7,1.764,2.901133333333333
information_gain_proxy,42,500,0.574,0.426,0.0,0.348,0.348,0.534,0.624,1.6759259259259258,0.352,0.898,0.318,2.564,0.28488888888888886,1.848,1.846,1.782
information_gain_proxy,43,500,0.58,0.42,0.0,0.368,0.368,0.578,0.658,1.6887608069164266,0.306,0.984,0.316,2.598,0.2886666666666666,1.846,1.848,1.8205333333333333
information_gain_proxy,44,500,0.594,0.406,0.0,0.314,0.314,0.566,0.654,1.75,0.32,0.988,0.288,2.648,0.2942222222222222,1.87,1.868,1.8400666666666665
information_gain_proxy,45,500,0.576,0.424,0.0,0.326,0.326,0.534,0.624,1.7098765432098766,0.352,0.964,0.32,2.618,0.29088888888888886,1.858,1.86,1.835
information_gain_proxy,46,500,0.62,0.38,0.0,0.324,0.324,0.566,0.672,1.7557471264367817,0.304,0.976,0.336,2.638,0.2931111111111111,1.878,1.88,1.8676666666666668
