agrees_with_existing,agrees_with_full_best,base_game_index,behavioral_regime_id,best_full_rollout_value,decision_id,distribution_shift_category,existing_rule_candidate_uid,existing_rule_full_rollout_value,full_rollout_best_candidate_uid,game_id,improvement_over_existing,ml_prediction_margin,policy_name,regret_to_best,seed,selected_candidate_uid,selected_full_rollout_value
1,1,1,speech_and_herding_policy,0.8571428571428571,e6e86d6e67e4b609c394a3b3db9ea653390b49b79ae6ca6e238b05d275cb83e5,in_distribution,4,0.8571428571428571,4,speech_and_herding_policy_seed_61_game_1_wolf_kill,0.0,0.010385409990312566,frozen_ml,0.0,61,4,0.8571428571428571
0,0,1,speech_and_herding_policy,0.8571428571428571,e6e86d6e67e4b609c394a3b3db9ea653390b49b79ae6ca6e238b05d275cb83e5,mild_shift,4,0.8571428571428571,4,speech_and_herding_policy_seed_61_game_1_wolf_kill,-0.2857142857142857,0.010385409990312566,frozen_hybrid_50_50,0.2857142857142857,61,10,0.5714285714285714
1,1,1,speech_and_herding_policy,0.8571428571428571,e6e86d6e67e4b609c394a3b3db9ea653390b49b79ae6ca6e238b05d275cb83e5,in_distribution,4,0.8571428571428571,4,speech_and_herding_policy_seed_61_game_1_wolf_kill,0.0,0.010385409990312566,frozen_ml_epsilon_010,0.0,61,4,0.8571428571428571
1,1,2,speech_and_herding_policy,1.0,4453cf65ab1216ad38533c0e68617c8345a5132111f58e39cea6a44abee40d36,in_distribution,9,1.0,9,speech_and_herding_policy_seed_61_game_2_wolf_kill,0.0,0.010717653250317039,existing_rule,0.0,61,9,1.0
1,1,2,speech_and_herding_policy,1.0,4453cf65ab1216ad38533c0e68617c8345a5132111f58e39cea6a44abee40d36,in_distribution,9,1.0,9,speech_and_herding_policy_seed_61_game_2_wolf_kill,0.0,0.010717653250317039,frozen_ml,0.0,61,9,1.0
1,1,2,speech_and_herding_policy,1.0,4453cf65ab1216ad38533c0e68617c8345a5132111f58e39cea6a44abee40d36,in_distribution,9,1.0,9,speech_and_herding_policy_seed_61_game_2_wolf_kill,0.0,0.010717653250317039,frozen_hybrid_50_50,0.0,61,9,1.0
1,1,2,speech_and_herding_policy,1.0,4453cf65ab1216ad38533c0e68617c8345a5132111f58e39cea6a44abee40d36,in_distribution,9,1.0,9,speech_and_herding_policy_seed_61_game_2_wolf_kill,0.0,0.010717653250317039,frozen_ml_epsilon_010,0.0,61,9,1.0
1,0,3,speech_and_herding_policy,1.0,eb206c58a15387620f13518b7c2fb9e1485a9664a229f20dd233cbc019a05ac6,in_distribution,3,0.5714285714285714,5,speech_and_herding_policy_seed_61_game_3_wolf_kill,0.0,0.004386878874924394,existing_rule,0.4285714285714286,61,3,0.5714285714285714
0,1,3,speech_and_herding_policy,1.0,eb206c58a15387620f13518b7c2fb9e1485a9664a229f20dd233cbc019a05ac6,in_distribution,3,0.5714285714285714,5,speech_and_herding_policy_seed_61_game_3_wolf_kill,0.4285714285714286,0.004386878874924394,frozen_ml,0.0,61,5,1.0
0,1,3,speech_and_herding_policy,1.0,eb206c58a15387620f13518b7c2fb9e1485a9664a229f20dd233cbc019a05ac6,in_distribution,3,0.5714285714285714,5,speech_and_herding_policy_seed_61_game_3_wolf_kill,0.4285714285714286,0.004386878874924394,frozen_hybrid_50_50,0.0,61,5,1.0
0,1,3,speech_and_herding_policy,1.0,eb206c58a15387620f13518b7c2fb9e1485a9664a229f20dd233cbc019a05ac6,in_distribution,3,0.5714285714285714,5,speech_and_herding_policy_seed_61_game_3_wolf_kill,0.4285714285714286,0.004386878874924394,frozen_ml_epsilon_010,0.0,61,5,1.0
1,1,1,speech_and_herding_policy,1.0,d41f338cf1b5d1e9c851aa891c184f91d5ff7eddc09f69f7ba8e951c23c3e3e4,in_distribution,1,1.0,1,speech_and_herding_policy_seed_62_game_1_wolf_kill,0.0,0.01072202317880977,existing_rule,0.0,62,1,1.0
0,0,1,speech_and_herding_policy,1.0,d41f338cf1b5d1e9c851aa891c184f91d5ff7eddc09f69f7ba8e951c23c3e3e4,in_distribution,1,1.0,1,speech_and_herding_policy_seed_62_game_1_wolf_kill,-0.1428571428571429,0.01072202317880977,frozen_ml,0.1428571428571429,62,8,0.8571428571428571
0,0,1,speech_and_herding_policy,1.0,d41f338cf1b5d1e9c851aa891c184f91d5ff7eddc09f69f7ba8e951c23c3e3e4,mild_shift,1,1.0,1,speech_and_herding_policy_seed_62_game_1_wolf_kill,-0.2857142857142857,0.01072202317880977,frozen_hybrid_50_50,0.2857142857142857,62,3,0.7142857142857143
0,0,1,speech_and_herding_policy,1.0,d41f338cf1b5d1e9c851aa891c184f91d5ff7eddc09f69f7ba8e951c23c3e3e4,in_distribution,1,1.0,1,speech_and_herding_policy_seed_62_game_1_wolf_kill,-0.1428571428571429,0.01072202317880977,frozen_ml_epsilon_010,0.1428571428571429,62,8,0.8571428571428571
1,0,2,speech_and_herding_policy,0.7142857142857143,b2dce8a5533f3b76c89dcc4d18e6560264f25915b229bc149b7f525829031562,in_distribution,9,0.7142857142857143,4,speech_and_herding_policy_seed_62_game_2_wolf_kill,0.0,0.004561740361912148,existing_rule,0.0,62,9,0.7142857142857143
0,0,2,speech_and_herding_policy,0.7142857142857143,b2dce8a5533f3b76c89dcc4d18e6560264f25915b229bc149b7f525829031562,in_distribution,9,0.7142857142857143,4,speech_and_herding_policy_seed_62_game_2_wolf_kill,-0.28571428571428575,0.004561740361912148,frozen_ml,0.28571428571428575,62,1,0.42857142857142855
0,1,2,speech_and_herding_policy,0.7142857142857143,b2dce8a5533f3b76c89dcc4d18e6560264f25915b229bc149b7f525829031562,mild_shift,9,0.7142857142857143,4,speech_and_herding_policy_seed_62_game_2_wolf_kill,0.0,0.004561740361912148,frozen_hybrid_50_50,0.0,62,4,0.7142857142857143
0,0,2,speech_and_herding_policy,0.7142857142857143,b2dce8a5533f3b76c89dcc4d18e6560264f25915b229bc149b7f525829031562,in_distribution,9,0.7142857142857143,4,speech_and_herding_policy_seed_62_game_2_wolf_kill,-0.28571428571428575,0.004561740361912148,frozen_ml_epsilon_010,0.28571428571428575,62,1,0.42857142857142855
1,1,3,speech_and_herding_policy,1.0,6b47e2e20969e01ac1164fe765334e81fdf99d63d1c4b5254241210bc1b48e64,in_distribution,2,1.0,2,speech_and_herding_policy_seed_62_game_3_wolf_kill,0.0,0.008315056329096682,existing_rule,0.0,62,2,1.0
0,0,3,speech_and_herding_policy,1.0,6b47e2e20969e01ac1164fe765334e81fdf99d63d1c4b5254241210bc1b48e64,in_distribution,2,1.0,2,speech_and_herding_policy_seed_62_game_3_wolf_kill,-0.2857142857142857,0.008315056329096682,frozen_ml,0.2857142857142857,62,7,0.7142857142857143
0,0,3,speech_and_herding_policy,1.0,6b47e2e20969e01ac1164fe765334e81fdf99d63d1c4b5254241210bc1b48e64,mild_shift,2,1.0,2,speech_and_herding_policy_seed_62_game_3_wolf_kill,-0.1428571428571429,0.008315056329096682,frozen_hybrid_50_50,0.1428571428571429,62,1,0.8571428571428571
0,0,3,speech_and_herding_policy,1.0,6b47e2e20969e01ac1164fe765334e81fdf99d63d1c4b5254241210bc1b48e64,in_distribution,2,1.0,2,speech_and_herding_policy_seed_62_game_3_wolf_kill,-0.2857142857142857,0.008315056329096682,frozen_ml_epsilon_010,0.2857142857142857,62,7,0.7142857142857143
1,0,1,speech_and_herding_policy,0.8571428571428571,5669fc9f380ad60f901872c9dfa71e475caf3fa9c5bf0ad976f03d9699864d6c,mild_shift,5,0.42857142857142855,9,speech_and_herding_policy_seed_63_game_1_wolf_kill,0.0,0.01722328911269766,existing_rule,0.42857142857142855,63,5,0.42857142857142855
0,0,1,speech_and_herding_policy,0.8571428571428571,5669fc9f380ad60f901872c9dfa71e475caf3fa9c5bf0ad976f03d9699864d6c,mild_shift,5,0.42857142857142855,9,speech_and_herding_policy_seed_63_game_1_wolf_kill,-0.14285714285714285,0.01722328911269766,frozen_ml,0.5714285714285714,63,7,0.2857142857142857
0,0,1,speech_and_herding_policy,0.8571428571428571,5669fc9f380ad60f901872c9dfa71e475caf3fa9c5bf0ad976f03d9699864d6c,mild_shift,5,0.42857142857142855,9,speech_and_herding_policy_seed_63_game_1_wolf_kill,-0.14285714285714285,0.01722328911269766,frozen_hybrid_50_50,0.5714285714285714,63,7,0.2857142857142857
0,0,1,speech_and_herding_policy,0.8571428571428571,5669fc9f380ad60f901872c9dfa71e475caf3fa9c5bf0ad976f03d9699864d6c,mild_shift,5,0.42857142857142855,9,speech_and_herding_policy_seed_63_game_1_wolf_kill,-0.14285714285714285,0.01722328911269766,frozen_ml_epsilon_010,0.5714285714285714,63,7,0.2857142857142857
1,0,2,speech_and_herding_policy,1.0,c1cb577411859dbaad70b797ddfa4aa06a2c97d84cca93e598bdaeedf2876478,in_distribution,8,1.0,1,speech_and_herding_policy_seed_63_game_2_wolf_kill,0.0,0.01072202317880977,existing_rule,0.0,63,8,1.0
1,0,2,speech_and_herding_policy,1.0,c1cb577411859dbaad70b797ddfa4aa06a2c97d84cca93e598bdaeedf2876478,in_distribution,8,1.0,1,speech_and_herding_policy_seed_63_game_2_wolf_kill,0.0,0.01072202317880977,frozen_ml,0.0,63,8,1.0
1,0,2,speech_and_herding_policy,1.0,c1cb577411859dbaad70b797ddfa4aa06a2c97d84cca93e598bdaeedf2876478,in_distribution,8,1.0,1,speech_and_herding_policy_seed_63_game_2_wolf_kill,0.0,0.01072202317880977,frozen_hybrid_50_50,0.0,63,8,1.0
0,0,2,speech_and_herding_policy,1.0,c1cb577411859dbaad70b797ddfa4aa06a2c97d84cca93e598bdaeedf2876478,in_distribution,8,1.0,1,speech_and_herding_policy_seed_63_game_2_wolf_kill,-0.5714285714285714,0.01072202317880977,frozen_ml_epsilon_010,0.5714285714285714,63,10,0.42857142857142855
1,0,3,speech_and_herding_policy,1.0,00362a045bb641396e3f9110489ac6933a1ae6e78e2a7ab4ba7182b6ead4d95d,in_distribution,7,1.0,1,speech_and_herding_policy_seed_63_game_3_wolf_kill,0.0,0.03233219116643182,existing_rule,0.0,63,7,1.0
1,0,3,speech_and_herding_policy,1.0,00362a045bb641396e3f9110489ac6933a1ae6e78e2a7ab4ba7182b6ead4d95d,in_distribution,7,1.0,1,speech_and_herding_policy_seed_63_game_3_wolf_kill,0.0,0.03233219116643182,frozen_ml,0.0,63,7,1.0
1,0,3,speech_and_herding_policy,1.0,00362a045bb641396e3f9110489ac6933a1ae6e78e2a7ab4ba7182b6ead4d95d,in_distribution,7,1.0,1,speech_and_herding_policy_seed_63_game_3_wolf_kill,0.0,0.03233219116643182,frozen_hybrid_50_50,0.0,63,7,1.0
1,0,3,speech_and_herding_policy,1.0,00362a045bb641396e3f9110489ac6933a1ae6e78e2a7ab4ba7182b6ead4d95d,in_distribution,7,1.0,1,speech_and_herding_policy_seed_63_game_3_wolf_kill,0.0,0.03233219116643182,frozen_ml_epsilon_010,0.0,63,7,1.0
1,0,1,speech_and_herding_policy,0.8571428571428571,482cc96623d13191768501924d564bbcf03c694fb04144f25d399162c7a01f42,in_distribution,8,0.7142857142857143,7,speech_and_herding_policy_seed_64_game_1_wolf_kill,0.0,0.01072202317880988,existing_rule,0.1428571428571428,64,8,0.7142857142857143
0,1,1,speech_and_herding_policy,0.8571428571428571,482cc96623d13191768501924d564bbcf03c694fb04144f25d399162c7a01f42,in_distribution,8,0.7142857142857143,7,speech_and_herding_policy_seed_64_game_1_wolf_kill,0.1428571428571428,0.01072202317880988,frozen_ml,0.0,64,7,0.8571428571428571
0,0,1,speech_and_herding_policy,0.8571428571428571,482cc96623d13191768501924d564bbcf03c694fb04144f25d399162c7a01f42,mild_shift,8,0.7142857142857143,7,speech_and_herding_policy_seed_64_game_1_wolf_kill,0.1428571428571428,0.01072202317880988,frozen_hybrid_50_50,0.0,64,9,0.8571428571428571
0,1,1,speech_and_herding_policy,0.8571428571428571,482cc96623d13191768501924d564bbcf03c694fb04144f25d399162c7a01f42,in_distribution,8,0.7142857142857143,7,speech_and_herding_policy_seed_64_game_1_wolf_kill,0.1428571428571428,0.01072202317880988,frozen_ml_epsilon_010,0.0,64,7,0.8571428571428571
1,1,2,speech_and_herding_policy,1.0,6badc8a8cd1c238d191129ee427859acff1feaacc32d78821ebbb9dee42d0e1e,in_distribution,2,1.0,2,speech_and_herding_policy_seed_64_game_2_wolf_kill,0.0,0.01911878128692579,existing_rule,0.0,64,2,1.0
0,0,2,speech_and_herding_policy,1.0,6badc8a8cd1c238d191129ee427859acff1feaacc32d78821ebbb9dee42d0e1e,mild_shift,2,1.0,2,speech_and_herding_policy_seed_64_game_2_wolf_kill,-0.1428571428571429,0.01911878128692579,frozen_ml,0.1428571428571429,64,9,0.8571428571428571
0,0,2,speech_and_herding_policy,1.0,6badc8a8cd1c238d191129ee427859acff1feaacc32d78821ebbb9dee42d0e1e,mild_shift,2,1.0,2,speech_and_herding_policy_seed_64_game_2_wolf_kill,-0.1428571428571429,0.01911878128692579,frozen_hybrid_50_50,0.1428571428571429,64,9,0.8571428571428571
0,0,2,speech_and_herding_policy,1.0,6badc8a8cd1c238d191129ee427859acff1feaacc32d78821ebbb9dee42d0e1e,mild_shift,2,1.0,2,speech_and_herding_policy_seed_64_game_2_wolf_kill,-0.1428571428571429,0.01911878128692579,frozen_ml_epsilon_010,0.1428571428571429,64,9,0.8571428571428571
