ablation_name,brier_score,calibration_intercept,calibration_slope,dataset_split,log_loss,n_rows,pr_auc,roc_auc
data_derived_vocabulary_only,0.12782921889385102,0.40967114125840626,0.1894522029070033,final_test,0.41281367848442246,8190,0.7287304901446451,0.7547214900175566
data_derived_vocabulary_only,0.2553684883438669,0.2660615745824785,-0.07255455183077329,ood_template,0.7131598568746982,2044,0.28516863742252957,0.42909594746767604
data_derived_vocabulary_only,0.10153492764103193,0.3842679067123166,0.1992416732669678,ood_regime,0.3520716478788545,2107,0.8583218432586984,0.8394454030334015
structured_speech_labels_only,0.10542823039600843,0.41555737910144114,0.08334517811762514,validation,0.3070199410620011,4129,0.8039445093077331,0.8784474692316722
structured_speech_labels_only,0.10776551544069415,0.4185938830808401,0.08404352642560783,final_test,0.31302856364188647,8190,0.8040577489612529,0.8774589563621594
structured_speech_labels_only,0.10883875416674259,0.4152812931006772,0.08357554719392431,ood_template,0.31695751149879786,2044,0.8082184853669199,0.8754465880671668
structured_speech_labels_only,0.07555569598615383,0.3490309248140841,0.07948519371454305,ood_regime,0.2659768191847885,2107,0.9085282657745789,0.9174074429107021
structured_plus_bow,0.1053660974459696,0.41554435301187587,0.08318551054659533,validation,0.30686480224501866,4129,0.8059573368471213,0.8795057653931935
structured_plus_bow,0.108057456881697,0.4185082308213613,0.08382774586259525,final_test,0.3136470945119378,8190,0.8025502424606061,0.8763984011779274
structured_plus_bow,0.10917949305238495,0.416609094941432,0.08479650760120172,ood_template,0.3177422902601048,2044,0.8104124628944078,0.876591888603977
structured_plus_bow,0.07581065152649563,0.3493068202031496,0.07919820845468785,ood_regime,0.2678699485048488,2107,0.907007474863963,0.916419031186094
