alive_villagers,alive_wolves,behavioral_regime_id,branch_policy,continuation_policy_id,distribution_shift_category,forced_candidate_player_id,forced_candidate_role,forced_candidate_uid,hunter_retaliation_occurred,ml_advantage_over_existing,rollout_index,rollout_seed,round,seed,source_decision_id,source_game_id,target_is_special,target_role,top_two_predicted_value_margin,total_rounds,village_win,winner,witch_save_occurred,wolf_team_win,wolf_win
3,3,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,3,,3,1,0.0,1,2427279723,1,222,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,seer,0.019289272845420702,2,0,wolf,1,1,1
3,3,heterogeneous_risk_preference,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,8,,8,0,0.0,0,622906982,1,222,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,0,villager,0.019289272845420702,3,0,wolf,1,1,1
3,3,heterogeneous_risk_preference,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,8,,8,0,0.0,1,3678408976,1,222,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,0,villager,0.019289272845420702,3,0,wolf,1,1,1
1,1,strong_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,9,,9,1,0.0,0,2982662440,1,230,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,seer,0.002491386700696263,4,0,wolf,1,1,1
3,3,strong_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,9,,9,0,0.0,1,87182923,1,230,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,seer,0.002491386700696263,3,0,wolf,1,1,1
2,2,strong_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,0,0.0,0,1588529574,1,230,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,witch,0.002491386700696263,4,0,wolf,1,1,1
3,3,strong_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,1,0.0,1,2345810664,1,230,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_230_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,witch,0.002491386700696263,2,0,wolf,0,1,1
1,1,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,0,1991177245,4,234,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,hunter,0.003575439512814804,4,0,wolf,1,1,1
1,1,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,1,3209038920,4,234,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,hunter,0.003575439512814804,4,0,wolf,1,1,1
1,1,baseline_speech_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,4,,4,0,0.0,0,2122704747,4,234,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_234_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,0,villager,0.003575439512814804,5,0,wolf,1,1,1
