actor,actor_uid,actual_execution_policy,avg_ml_advantage_over_existing,avg_top_two_margin,base_game_index,behavioral_regime_id,cumulative_ml_existing_disagreements,cumulative_ml_interventions,decision_id,decision_index,decision_type,distribution_shift_category,draw,existing_rule_target,existing_rule_target_actor_uid,first_wolf_death_round,frozen_hybrid_50_50_target,frozen_ml_epsilon_010_target,frozen_ml_target,frozen_ml_target_actor_uid,game_id,hunter_kills,hunter_retaliation_occurred,hunter_retaliations,hybrid_existing_agree,in_distribution_decisions,manifest_hash,matched_set_id,mild_shift_decisions,ml_advantage_over_existing,ml_existing_agree,ml_hybrid_agree,night_kill_attempts,number_of_legal_candidates,phase,policy_name,pre_decision_snapshot_hash,pre_decision_snapshot_id,prior_ml_existing_disagreements,prior_ml_interventions,round,round_number,seed,seer_kills,selected_target,selected_target_actor_uid,selected_target_killed,selected_target_rank_under_existing_rule,selected_target_rank_under_ml,selected_target_role,selection_reason,selective_override_manifest_hash,selective_override_qualified,single_random_intervention_index,special_role_kills,split,stage2b_executed_ml_intervention,stage2b_policy_name,stage2b_shadow_only,strong_shift_decision_rate,strong_shift_decisions,successful_night_kills,time_to_parity,top_two_predicted_value_margin,total_ml_existing_disagreements,total_ml_interventions,total_rounds,total_selective_qualified_decisions,total_shadow_only_decisions,village_win,vote_control_proxy,winner,witch_kills,witch_saved_target,witch_saves,wolf_kill_decisions,wolf_survival_count,wolf_win
8,8,existing_rule,0.0,0.007113561102051247,1,strong_village_information,4,2,stage2b_seed_232_base_1_regime_strong_village_information_policy_ml_first_two_kills_round_4_decision_4,4,wolf_kill,strong_shift,0,1,1,1,3,4,4,4,stage2b_seed_232_base_1_regime_strong_village_information_policy_ml_first_two_kills,1,1,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,0,4,4,night,ml_first_two_kills,,,3,2,4,4,232,1,1,1,1,2,3,hunter,after_two_decisions_revert_to_existing_rule,,0,,2,final_test,0,ml_first_two_kills,0,0.5,2,3,4,0.008335347746251331,4,2,4,0,0,0,2,wolf,0,0,1,4,1,1
5,5,frozen_ml,0.0,0.015250483398110526,1,strong_village_information,1,1,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml_round_1_decision_1,1,wolf_kill,mild_shift,0,10,10,1,9,1,9,9,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,1,4,7,night,continuous_frozen_ml,,,0,0,1,4,232,0,9,9,0,2,1,villager,continuous_frozen_ml,,0,,1,final_test,1,continuous_frozen_ml,0,0.5,2,3,4,0.006164652745390464,4,4,4,0,0,0,3,wolf,0,1,1,4,1,1
6,6,frozen_ml,0.0,0.015250483398110526,1,strong_village_information,2,2,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml_round_2_decision_2,2,wolf_kill,mild_shift,0,10,10,1,3,2,2,2,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,0,4,7,night,continuous_frozen_ml,,,1,1,2,4,232,0,2,2,1,6,1,villager,continuous_frozen_ml,,0,,1,final_test,1,continuous_frozen_ml,0,0.5,2,3,4,0.0027957213113606327,4,4,4,0,0,0,3,wolf,0,0,1,4,1,1
6,6,frozen_ml,0.0,0.015250483398110526,1,strong_village_information,3,3,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml_round_3_decision_3,3,wolf_kill,strong_shift,0,10,10,1,1,1,1,1,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml,1,1,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,1,4,5,night,continuous_frozen_ml,,,2,2,3,4,232,0,1,1,1,3,1,hunter,continuous_frozen_ml,,0,,1,final_test,1,continuous_frozen_ml,0,0.5,2,3,4,0.011158522605202559,4,4,4,0,0,0,3,wolf,0,0,1,4,1,1
8,8,frozen_ml,0.0,0.015250483398110526,1,strong_village_information,4,4,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml_round_4_decision_4,4,wolf_kill,strong_shift,0,10,10,1,4,4,4,4,stage2b_seed_232_base_1_regime_strong_village_information_policy_continuous_frozen_ml,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,1,4,3,night,continuous_frozen_ml,,,3,3,4,4,232,0,4,4,1,1,1,villager,continuous_frozen_ml,,0,,1,final_test,1,continuous_frozen_ml,0,0.5,2,3,4,0.04088303693048845,4,4,4,0,0,0,3,wolf,0,0,1,4,1,1
5,5,existing_rule,0.0,0.00424898304878199,1,strong_village_information,1,0,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,1,wolf_kill,mild_shift,0,10,10,1,9,1,9,9,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,1,4,7,night,existing_with_ml_shadow,62c1334af36370490be0018a74c9da91b1f7551c46588e53ee4da82f002b9d07,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_1_decision_1,0,0,1,4,232,1,10,10,0,5,2,seer,existing_rule_executed_with_ml_shadow_logging,,0,,3,final_test,0,existing_with_ml_shadow,1,0.5,2,3,4,0.006164652745390464,4,0,4,0,4,0,2,wolf,1,1,1,4,1,1
6,6,existing_rule,0.0,0.00424898304878199,1,strong_village_information,2,0,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_2_decision_2,2,wolf_kill,mild_shift,0,10,10,1,3,2,2,2,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,0,4,7,night,existing_with_ml_shadow,34b1baf68e610eef900ac6a593cd782191f82f8c1d921a61df24c4858a86996d,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_2_decision_2,1,0,2,4,232,1,10,10,1,3,4,seer,existing_rule_executed_with_ml_shadow_logging,,0,,3,final_test,0,existing_with_ml_shadow,1,0.5,2,3,4,0.0027957213113606327,4,0,4,0,4,0,2,wolf,1,0,1,4,1,1
6,6,existing_rule,0.0,0.00424898304878199,1,strong_village_information,3,0,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_3_decision_3,3,wolf_kill,strong_shift,0,7,7,1,3,2,2,2,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,0,4,5,night,existing_with_ml_shadow,c743ebb6200f415cf119c9e1960ea4f240a9a43a075fbd14204087a6105bb4be,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_3_decision_3,2,0,3,4,232,1,7,7,1,2,5,witch,existing_rule_executed_with_ml_shadow_logging,,0,,3,final_test,0,existing_with_ml_shadow,1,0.5,2,3,4,0.004195038756907188,4,0,4,0,4,0,2,wolf,1,0,1,4,1,1
8,8,existing_rule,0.0,0.00424898304878199,1,strong_village_information,4,0,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_4_decision_4,4,wolf_kill,strong_shift,0,1,1,1,3,3,3,3,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow,1,1,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.0,0,1,4,4,night,existing_with_ml_shadow,408c49a642074189d6437a1fe33d416c517652f28dea656c068b878aea1f52b4,stage2b_seed_232_base_1_regime_strong_village_information_policy_existing_with_ml_shadow_round_4_decision_4,3,0,4,4,232,1,1,1,1,3,3,hunter,existing_rule_executed_with_ml_shadow_logging,,0,,3,final_test,0,existing_with_ml_shadow,1,0.5,2,3,4,0.003840519381469676,4,0,4,0,4,0,2,wolf,1,0,1,4,1,1
5,5,existing_rule,0.016184699710922207,0.00424898304878199,1,strong_village_information,1,0,stage2b_seed_232_base_1_regime_strong_village_information_policy_selective_ml_override_round_1_decision_1,1,wolf_kill,mild_shift,0,10,10,1,9,1,9,9,stage2b_seed_232_base_1_regime_strong_village_information_policy_selective_ml_override,1,0,1,0,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_232_base_1_regime_strong_village_information,2,0.006164652745390464,0,1,4,7,night,selective_ml_override,,,0,0,1,4,232,1,10,10,0,5,2,seer,selective_override_not_qualified,56df48c63f448c53d12228774ff6bb8a080e5a06f287ffff7a384a401a5188b2,0,,3,final_test,0,selective_ml_override,0,0.5,2,3,4,0.006164652745390464,4,0,4,0,0,0,2,wolf,1,1,1,4,1,1
