behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,frozen_ml_target,game_id,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
speech_disabled,mild_shift,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_two_kills,1,220,7,villager,0.01490239397049653
speech_disabled,mild_shift,2,low_margin_decision,10,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_two_kills,2,220,10,witch,0.004553000504926574
speech_disabled,strong_shift,2,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_two_kills,3,220,2,seer,0.002232105362725334
speech_disabled,mild_shift,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_speech_disabled,continuous_frozen_ml,1,220,7,villager,0.01490239397049653
speech_disabled,mild_shift,2,low_margin_decision,10,stage2b_seed_220_base_1_regime_speech_disabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_speech_disabled,continuous_frozen_ml,2,220,10,witch,0.004553000504926574
speech_disabled,strong_shift,2,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_speech_disabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_speech_disabled,continuous_frozen_ml,3,220,5,villager,0.002232105362725334
speech_disabled,in_distribution,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_speech_disabled,existing_with_ml_shadow,1,220,2,seer,0.01490239397049653
speech_disabled,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_speech_disabled,existing_with_ml_shadow,4,220,3,hunter,0.03135864683204492
speech_disabled,in_distribution,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_speech_disabled,selective_ml_override,1,220,2,seer,0.01490239397049653
speech_disabled,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_speech_disabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_speech_disabled,selective_ml_override,4,220,3,hunter,0.03135864683204492
speech_disabled,in_distribution,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_speech_disabled,high_confidence_shadow,1,220,2,seer,0.01490239397049653
speech_disabled,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_speech_disabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_speech_disabled,high_confidence_shadow,4,220,3,hunter,0.03135864683204492
herding_enabled,in_distribution,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_kill_only,1,220,8,villager,0.010551531620314747
herding_enabled,strong_shift,6,strong_distribution_shift,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_kill_only,2,220,6,seer,0.011484409917345784
herding_enabled,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_kill_only,3,220,10,witch,0.001748687583180586
herding_enabled,in_distribution,6,policy_lost_existing_won,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_herding_enabled,ml_single_random_kill,1,220,6,seer,0.010551531620314747
herding_enabled,mild_shift,6,policy_lost_existing_won,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_herding_enabled,ml_single_random_kill,2,220,8,villager,0.011484409917345784
herding_enabled,strong_shift,6,policy_lost_existing_won,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_herding_enabled,ml_single_random_kill,3,220,6,seer,0.004033287494276894
herding_enabled,in_distribution,6,policy_lost_existing_won,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_two_kills,1,220,8,villager,0.010551531620314747
herding_enabled,mild_shift,6,policy_lost_existing_won,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_two_kills,2,220,8,villager,0.011484409917345784
herding_enabled,strong_shift,6,policy_lost_existing_won,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_herding_enabled,ml_first_two_kills,3,220,6,seer,0.004033287494276894
